ANT-USDT,325942.698978957569,1,12,12,9,8,4,3,3,3
ATOM-USDT,24493142.675659566157,1,15,9,5,3,2,2,2,2
BNB-USDT,13611133.66780943644,1,4,4,4,4,3,2,2,2
BTC-USDT,311568862.377424531,1,7,5,4,3,2,2,2,2
CHR-USDT,711147.90956967216275,1,14,10,8,5,3,4,4,4
FTM-USDT,61771078.3074762249488,1,6,5,5,5,5,5,5,5
LTC-USDT,3648730.25613301035,1,6,5,4,3,2,2,2,2
MANA-USDT,6493239.8788243070554,1,18,8,6,6,6,6,5,5
ONE-USDT,5616716.69821179161223,1,1,1,1,1,1,1,1,1
ONT-USDT,86394.8451960246572,1,5,3,3,2,2,1,1,1
PYR-USDT,4547115.707187853254,1,24,18,9,8,5,5,5,5
QNT-USDT,3893409.06856841993,1,14,8,4,4,4,4,4,3
SAND-USDT,7010768.3877393194852,1,22,10,6,6,5,5,5,4
SOL-USDT,22521615.38843149798,1,15,13,6,5,5,4,4,4
VET-USDT,4075476.592900389364737,1,9,6,6,5,3,3,3,3
XRP-USDT,50972186.4300700183308,1,7,6,2,2,2,2,2,2
XTZ-USDT,862130.7713383728086,1,16,9,8,7,5,5,4,4
LUNA-USDT,246645857.226074373467,1,8,5,2,1,1,1,1,1
BCHSV-USDT,758774.68702872414,1,6,6,4,1,1,1,1,1
